User ID,Feature Usage Frequency,Satisfaction (1–5),What’s Working,What’s Frustrating,Suggested Improvement
FX001,Monthly,2,Helps me generate creative ideas.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Highlight it better inside dashboard.
FX002,Rarely,5,UI is simple and clear.,Results sound robotic.,Let users train it on their tone.
FX003,Rarely,3,Saves me time writing product descriptions.,Hard to find where to enable it.,Add multilingual support.
FX004,Rarely,5,التجربة سهلة وسريعة.,Doesn’t support Arabic well.,Add multilingual support.
FX005,Rarely,1,UI is simple and clear.,Doesn’t support Arabic well.,Improve relevance of results.
FX006,Rarely,5,UI is simple and clear.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Add multilingual support.
FX007,Rarely,3,Easy to use and fast.,Hard to find where to enable it.,Let users train it on their tone.
FX008,Daily,1,Easy to use and fast.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Add multilingual support.
FX009,Monthly,4,Easy to use and fast.,Doesn’t support Arabic well.,Improve relevance of results.
FX010,Weekly,5,التجربة سهلة وسريعة.,Hard to find where to enable it.,Let users train it on their tone.
FX011,Weekly,2,التجربة سهلة وسريعة.,Results sound robotic.,Highlight it better inside dashboard.
FX012,Weekly,2,UI is simple and clear.,Sometimes irrelevant suggestions.,Highlight it better inside dashboard.
FX013,Rarely,2,UI is simple and clear.,Sometimes irrelevant suggestions.,Let users train it on their tone.
FX014,Weekly,1,Saves me time writing product descriptions.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Let users train it on their tone.
FX015,Daily,2,Saves me time writing product descriptions.,Results sound robotic.,Highlight it better inside dashboard.
FX016,Daily,5,Easy to use and fast.,Hard to find where to enable it.,Let users train it on their tone.
FX017,Rarely,3,UI is simple and clear.,Doesn’t support Arabic well.,Add multilingual support.
FX018,Rarely,3,UI is simple and clear.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Add multilingual support.
FX019,Rarely,2,Helps me generate creative ideas.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Add multilingual support.
FX020,Monthly,5,التجربة سهلة وسريعة.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Add multilingual support.
FX021,Rarely,2,Easy to use and fast.,Sometimes irrelevant suggestions.,Improve relevance of results.
FX022,Rarely,2,التجربة سهلة وسريعة.,Doesn’t support Arabic well.,Add multilingual support.
FX023,Daily,4,UI is simple and clear.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Improve relevance of results.
FX024,Rarely,4,التجربة سهلة وسريعة.,Results sound robotic.,Highlight it better inside dashboard.
FX025,Weekly,4,Saves me time writing product descriptions.,Sometimes irrelevant suggestions.,Add multilingual support.
FX026,Monthly,2,Easy to use and fast.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Let users train it on their tone.
FX027,Weekly,2,التجربة سهلة وسريعة.,Hard to find where to enable it.,Highlight it better inside dashboard.
FX028,Rarely,3,Saves me time writing product descriptions.,Doesn’t support Arabic well.,Improve relevance of results.
FX029,Daily,5,Saves me time writing product descriptions.,Results sound robotic.,Add multilingual support.
FX030,Monthly,3,Saves me time writing product descriptions.,Doesn’t support Arabic well.,Improve relevance of results.
FX031,Rarely,2,UI is simple and clear.,Sometimes irrelevant suggestions.,Let users train it on their tone.
FX032,Weekly,4,Easy to use and fast.,Sometimes irrelevant suggestions.,Highlight it better inside dashboard.
FX033,Rarely,2,Easy to use and fast.,Sometimes irrelevant suggestions.,Improve relevance of results.
FX034,Weekly,1,Easy to use and fast.,Doesn’t support Arabic well.,Highlight it better inside dashboard.
FX035,Rarely,2,Easy to use and fast.,Doesn’t support Arabic well.,Highlight it better inside dashboard.
FX036,Monthly,4,التجربة سهلة وسريعة.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Add multilingual support.
FX037,Monthly,5,UI is simple and clear.,Sometimes irrelevant suggestions.,Add multilingual support.
FX038,Monthly,1,التجربة سهلة وسريعة.,Doesn’t support Arabic well.,Highlight it better inside dashboard.
FX039,Daily,5,Saves me time writing product descriptions.,Results sound robotic.,Improve relevance of results.
FX040,Rarely,2,Helps me generate creative ideas.,Results sound robotic.,Improve relevance of results.
FX041,Monthly,1,Helps me generate creative ideas.,Results sound robotic.,Let users train it on their tone.
FX042,Daily,2,Easy to use and fast.,Sometimes irrelevant suggestions.,Highlight it better inside dashboard.
FX043,Daily,5,UI is simple and clear.,Sometimes irrelevant suggestions.,Add multilingual support.
FX044,Weekly,2,Saves me time writing product descriptions.,Results sound robotic.,Add multilingual support.
FX045,Rarely,2,UI is simple and clear.,Hard to find where to enable it.,Let users train it on their tone.
FX046,Daily,2,التجربة سهلة وسريعة.,Doesn’t support Arabic well.,Add multilingual support.
FX047,Monthly,5,Easy to use and fast.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Improve relevance of results.
FX048,Weekly,5,Saves me time writing product descriptions.,Sometimes irrelevant suggestions.,Improve relevance of results.
FX049,Daily,2,UI is simple and clear.,Results sound robotic.,Highlight it better inside dashboard.
FX050,Rarely,4,UI is simple and clear.,Sometimes irrelevant suggestions.,Highlight it better inside dashboard.
FX051,Rarely,3,Easy to use and fast.,Results sound robotic.,Let users train it on their tone.
FX052,Monthly,3,التجربة سهلة وسريعة.,Results sound robotic.,Improve relevance of results.
FX053,Rarely,3,التجربة سهلة وسريعة.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Let users train it on their tone.
FX054,Daily,4,التجربة سهلة وسريعة.,Results sound robotic.,Highlight it better inside dashboard.
FX055,Monthly,3,التجربة سهلة وسريعة.,Results sound robotic.,Add multilingual support.
FX056,Daily,4,Easy to use and fast.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Add multilingual support.
FX057,Rarely,4,التجربة سهلة وسريعة.,Sometimes irrelevant suggestions.,Let users train it on their tone.
FX058,Monthly,1,Helps me generate creative ideas.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Improve relevance of results.
FX059,Rarely,5,التجربة سهلة وسريعة.,Doesn’t support Arabic well.,Add multilingual support.
FX060,Rarely,4,Easy to use and fast.,Sometimes irrelevant suggestions.,Let users train it on their tone.
FX061,Monthly,4,UI is simple and clear.,Doesn’t support Arabic well.,Improve relevance of results.
FX062,Rarely,3,التجربة سهلة وسريعة.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Let users train it on their tone.
FX063,Monthly,2,Helps me generate creative ideas.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Improve relevance of results.
FX064,Weekly,5,Helps me generate creative ideas.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Improve relevance of results.
FX065,Daily,2,Easy to use and fast.,Sometimes irrelevant suggestions.,Let users train it on their tone.
FX066,Rarely,1,Saves me time writing product descriptions.,Hard to find where to enable it.,Let users train it on their tone.
FX067,Weekly,1,UI is simple and clear.,Results sound robotic.,Improve relevance of results.
FX068,Daily,5,UI is simple and clear.,Results sound robotic.,Add multilingual support.
FX069,Monthly,2,UI is simple and clear.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Highlight it better inside dashboard.
FX070,Weekly,4,التجربة سهلة وسريعة.,Hard to find where to enable it.,Improve relevance of results.
FX071,Monthly,5,Helps me generate creative ideas.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Let users train it on their tone.
FX072,Monthly,2,Helps me generate creative ideas.,Results sound robotic.,Improve relevance of results.
FX073,Rarely,1,Helps me generate creative ideas.,Sometimes irrelevant suggestions.,Add multilingual support.
FX074,Daily,2,Helps me generate creative ideas.,Sometimes irrelevant suggestions.,Add multilingual support.
FX075,Rarely,1,Helps me generate creative ideas.,Hard to find where to enable it.,Improve relevance of results.
FX076,Rarely,3,UI is simple and clear.,Hard to find where to enable it.,Highlight it better inside dashboard.
FX077,Weekly,1,التجربة سهلة وسريعة.,Hard to find where to enable it.,Highlight it better inside dashboard.
FX078,Monthly,1,التجربة سهلة وسريعة.,Hard to find where to enable it.,Highlight it better inside dashboard.
FX079,Daily,1,Easy to use and fast.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Improve relevance of results.
FX080,Monthly,2,UI is simple and clear.,Doesn’t support Arabic well.,Add multilingual support.
FX081,Rarely,3,التجربة سهلة وسريعة.,Results sound robotic.,Improve relevance of results.
FX082,Monthly,2,Helps me generate creative ideas.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Let users train it on their tone.
FX083,Daily,5,التجربة سهلة وسريعة.,Sometimes irrelevant suggestions.,Add multilingual support.
FX084,Weekly,5,التجربة سهلة وسريعة.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Improve relevance of results.
FX085,Rarely,3,التجربة سهلة وسريعة.,Results sound robotic.,Add multilingual support.
FX086,Rarely,5,UI is simple and clear.,Results sound robotic.,Improve relevance of results.
FX087,Daily,1,Easy to use and fast.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Let users train it on their tone.
FX088,Weekly,1,Easy to use and fast.,Results sound robotic.,Improve relevance of results.
FX089,Weekly,2,التجربة سهلة وسريعة.,Hard to find where to enable it.,Let users train it on their tone.
FX090,Weekly,1,Easy to use and fast.,Sometimes irrelevant suggestions.,Add multilingual support.
FX091,Monthly,2,Saves me time writing product descriptions.,Sometimes irrelevant suggestions.,Add multilingual support.
FX092,Daily,3,التجربة سهلة وسريعة.,Doesn’t support Arabic well.,Add multilingual support.
FX093,Rarely,1,التجربة سهلة وسريعة.,Results sound robotic.,Let users train it on their tone.
FX094,Monthly,4,Easy to use and fast.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Add multilingual support.
FX095,Weekly,1,Helps me generate creative ideas.,Doesn’t support Arabic well.,Highlight it better inside dashboard.
FX096,Weekly,5,UI is simple and clear.,الذكاء الاصطناعي يكتب بصيغة رسمية جداً.,Let users train it on their tone.
FX097,Monthly,2,UI is simple and clear.,Hard to find where to enable it.,Let users train it on their tone.
FX098,Weekly,3,Helps me generate creative ideas.,Sometimes irrelevant suggestions.,Improve relevance of results.
FX099,Weekly,3,UI is simple and clear.,Results sound robotic.,Improve relevance of results.
FX100,Rarely,1,UI is simple and clear.,Hard to find where to enable it.,Highlight it better inside dashboard.