User ID,NPS Score,Comment
NPS001,2,Crashes sometimes when I upload many products.
NPS002,1,واجهت مشكلة في الأداء وقت التخفيضات.
NPS003,5,الأسعار تحتاج مراجعة شوي.
NPS004,8,Amazing support team! Always quick and kind.
NPS005,10,Love the AI assistant! Saves me tons of time.
NPS006,7,Amazing support team! Always quick and kind.
NPS007,0,الأسعار تحتاج مراجعة شوي.
NPS008,2,الأسعار تحتاج مراجعة شوي.
NPS009,6,تجربة المستخدم تحسنت كثير بعد التحديث.
NPS010,6,الأسعار تحتاج مراجعة شوي.
NPS011,8,خدمة الدعم ممتازة جداً وسريعة.
NPS012,9,Love the AI assistant! Saves me tons of time.
NPS013,9,Amazing support team! Always quick and kind.
NPS014,9,Crashes sometimes when I upload many products.
NPS015,1,Love the AI assistant! Saves me tons of time.
NPS016,7,واجهت مشكلة في الأداء وقت التخفيضات.
NPS017,6,Price jumped suddenly without warning.
NPS018,8,Price jumped suddenly without warning.
NPS019,10,Price jumped suddenly without warning.
NPS020,9,System feels smoother after latest update.
NPS021,9,Amazing support team! Always quick and kind.
NPS022,3,Would love to see more Arabic content.
NPS023,2,تجربة المستخدم تحسنت كثير بعد التحديث.
NPS024,8,System feels smoother after latest update.
NPS025,7,تجربة المستخدم تحسنت كثير بعد التحديث.
NPS026,10,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS027,7,خدمة الدعم ممتازة جداً وسريعة.
NPS028,5,Crashes sometimes when I upload many products.
NPS029,3,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS030,0,Price jumped suddenly without warning.
NPS031,1,الأسعار تحتاج مراجعة شوي.
NPS032,7,خدمة الدعم ممتازة جداً وسريعة.
NPS033,5,خدمة الدعم ممتازة جداً وسريعة.
NPS034,2,Crashes sometimes when I upload many products.
NPS035,6,Would love to see more Arabic content.
NPS036,2,Crashes sometimes when I upload many products.
NPS037,6,System feels smoother after latest update.
NPS038,0,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS039,10,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS040,6,Would love to see more Arabic content.
NPS041,7,Love the AI assistant! Saves me tons of time.
NPS042,7,Amazing support team! Always quick and kind.
NPS043,0,تجربة المستخدم تحسنت كثير بعد التحديث.
NPS044,6,خدمة الدعم ممتازة جداً وسريعة.
NPS045,10,الأسعار تحتاج مراجعة شوي.
NPS046,0,Amazing support team! Always quick and kind.
NPS047,3,واجهت مشكلة في الأداء وقت التخفيضات.
NPS048,6,تجربة المستخدم تحسنت كثير بعد التحديث.
NPS049,7,واجهت مشكلة في الأداء وقت التخفيضات.
NPS050,3,Crashes sometimes when I upload many products.
NPS051,8,خدمة الدعم ممتازة جداً وسريعة.
NPS052,9,Crashes sometimes when I upload many products.
NPS053,0,خدمة الدعم ممتازة جداً وسريعة.
NPS054,4,تجربة المستخدم تحسنت كثير بعد التحديث.
NPS055,8,واجهت مشكلة في الأداء وقت التخفيضات.
NPS056,8,Love the AI assistant! Saves me tons of time.
NPS057,6,الأسعار تحتاج مراجعة شوي.
NPS058,4,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS059,2,واجهت مشكلة في الأداء وقت التخفيضات.
NPS060,9,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS061,1,واجهت مشكلة في الأداء وقت التخفيضات.
NPS062,3,Love the AI assistant! Saves me tons of time.
NPS063,0,System feels smoother after latest update.
NPS064,7,تجربة المستخدم تحسنت كثير بعد التحديث.
NPS065,10,Would love to see more Arabic content.
NPS066,7,Would love to see more Arabic content.
NPS067,8,الأسعار تحتاج مراجعة شوي.
NPS068,3,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS069,10,خدمة الدعم ممتازة جداً وسريعة.
NPS070,10,الأسعار تحتاج مراجعة شوي.
NPS071,9,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS072,4,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS073,8,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS074,8,خدمة الدعم ممتازة جداً وسريعة.
NPS075,3,Price jumped suddenly without warning.
NPS076,1,Price jumped suddenly without warning.
NPS077,7,Would love to see more Arabic content.
NPS078,8,Amazing support team! Always quick and kind.
NPS079,10,System feels smoother after latest update.
NPS080,10,System feels smoother after latest update.
NPS081,5,الأسعار تحتاج مراجعة شوي.
NPS082,6,خدمة الدعم ممتازة جداً وسريعة.
NPS083,1,تجربة المستخدم تحسنت كثير بعد التحديث.
NPS084,7,Amazing support team! Always quick and kind.
NPS085,8,Amazing support team! Always quick and kind.
NPS086,6,Love the AI assistant! Saves me tons of time.
NPS087,4,واجهت مشكلة في الأداء وقت التخفيضات.
NPS088,2,الذكاء الاصطناعي مفيد لكن يحتاج تحسين بالعربية.
NPS089,0,خدمة الدعم ممتازة جداً وسريعة.
NPS090,10,System feels smoother after latest update.
NPS091,7,System feels smoother after latest update.
NPS092,3,Amazing support team! Always quick and kind.
NPS093,6,System feels smoother after latest update.
NPS094,3,الأسعار تحتاج مراجعة شوي.
NPS095,7,Amazing support team! Always quick and kind.
NPS096,10,System feels smoother after latest update.
NPS097,7,Love the AI assistant! Saves me tons of time.
NPS098,6,Amazing support team! Always quick and kind.
NPS099,9,Love the AI assistant! Saves me tons of time.
NPS100,1,Amazing support team! Always quick and kind.